"행정구역","2022년05월_총인구수","2022년05월_세대수","2022년05월_세대당 인구","2022년05월_남자 인구수","2022년05월_여자 인구수","2022년05월_남여 비율"
"충청남도  (4400000000)","2,119,661","1,010,866","          2.10","1,084,296","1,035,365","          1.05"
"충청남도 천안시 (4413000000)","657,241","300,798","          2.18","336,249","320,992","          1.05"
"충청남도 천안시 동남구 (4413100000)","255,332","118,181","          2.16","129,518","125,814","          1.03"
"충청남도 천안시 서북구 (4413300000)","401,909","182,617","          2.20","206,731","195,178","          1.06"
"충청남도 공주시 (4415000000)","103,090","52,182","          1.98","51,489","51,601","          1.00"
"충청남도 보령시 (4418000000)","97,842","49,635","          1.97","49,603","48,239","          1.03"
"충청남도 아산시 (4420000000)","329,684","149,080","          2.21","171,704","157,980","          1.09"
"충청남도 서산시 (4421000000)","176,407","81,921","          2.15","92,003","84,404","          1.09"
"충청남도 논산시 (4423000000)","113,659","58,265","          1.95","56,722","56,937","          1.00"
"충청남도 계룡시 (4425000000)","43,509","17,422","          2.50","21,720","21,789","          1.00"
"충청남도 당진시 (4427000000)","166,928","79,987","          2.09","88,873","78,055","          1.14"
"충청남도 금산군 (4471000000)","50,245","25,971","          1.93","25,357","24,888","          1.02"
"충청남도 부여군 (4476000000)","63,171","33,213","          1.90","31,364","31,807","          0.99"
"충청남도 서천군 (4477000000)","50,439","26,711","          1.89","24,884","25,555","          0.97"
"충청남도 청양군 (4479000000)","30,507","16,623","          1.84","15,517","14,990","          1.04"
"충청남도 홍성군 (4480000000)","98,833","46,833","          2.11","49,260","49,573","          0.99"
"충청남도 예산군 (4481000000)","76,619","39,120","          1.96","38,496","38,123","          1.01"
"충청남도 태안군 (4482500000)","61,487","33,105","          1.86","31,055","30,432","          1.02"
